Date,Price
3/4/24,69000
3/5/24,69500
3/6/24,69800
3/7/24,71200
3/8/24,70900
3/11/24,70700
3/12/24,73200
3/13/24,77500
3/14/24,78600
3/15/24,76200
3/18/24,74400
3/19/24,72500
3/20/24,73800
3/21/24,76100
3/22/24,74900
3/25/24,72000
3/26/24,71800
3/27/24,69000
3/28/24,70300
3/29/24,69500
4/1/24,68400
4/2/24,68900
4/3/24,67300
4/4/24,69500
4/5/24,69100
4/8/24,69300
4/9/24,69100
4/11/24,68300
4/12/24,66300
4/15/24,66200
4/16/24,64400
4/17/24,63100
4/18/24,64000
4/19/24,63700
4/22/24,69500
4/23/24,70200
4/24/24,68900
4/25/24,69300
4/26/24,76000
4/29/24,76600
4/30/24,75600
5/2/24,72300
5/3/24,73700
5/7/24,73900
5/8/24,77700
5/9/24,76600
5/10/24,79300
5/13/24,81600
5/14/24,79600
5/16/24,81000
5/17/24,80100
5/20/24,81600
5/21/24,81600
5/22/24,79100
5/23/24,77300
5/24/24,76900
5/27/24,76300
5/28/24,77100
5/29/24,78100
5/30/24,78700
5/31/24,79400
6/3/24,79300